CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00001019992023,,UNKNOWN,unknown,
00032023032023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000019992023,,UNKNOWN,unknown,
00000000000099,671,UNKNOWN,unknown,1970.0
20001201000000,726,UNKNOWN,unknown,2037.0
20011201000000,723,UNKNOWN,unknown,2000.0
20021201000000,659,UNKNOWN,unknown,1749.0
20031201000000,626,UNKNOWN,unknown,1654.0
20041201000000,606,UNKNOWN,unknown,1581.0
20051201000000,567,UNKNOWN,unknown,1527.0
20061201000000,585,UNKNOWN,unknown,1497.0
20071201000000,571,UNKNOWN,unknown,1408.0
20081201000000,499,UNKNOWN,unknown,1272.0
20091201000000,476,UNKNOWN,unknown,1218.0
20101201000000,433,UNKNOWN,unknown,1184.0
20111201000000,429,UNKNOWN,unknown,1180.0
00000000000012,417,UNKNOWN,unknown,1123.0
20131201000000,391,UNKNOWN,unknown,1086.0
20141201000000,381,UNKNOWN,unknown,1049.0
20151201000000,364,UNKNOWN,unknown,975.0
20161201000000,343,UNKNOWN,unknown,958.0
20171201000000,334,UNKNOWN,unknown,932.0
20181201000000,306,UNKNOWN,unknown,920.0
20191201000000,295,UNKNOWN,unknown,915.0
20201201000000,274,UNKNOWN,unknown,909.0
20211201000000,271,UNKNOWN,unknown,900.0
20221201000000,254,UNKNOWN,unknown,897.0
20230301000000,253,UNKNOWN,unknown,888.0
00032023032023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00141000002023,,UNKNOWN,unknown,
05202316042023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00001000002023,,UNKNOWN,unknown,
05202316042023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00001520222023,,UNKNOWN,unknown,
00000000000001,*,UNKNOWN,unknown,
00000000000001,0.39,UNKNOWN,unknown,-0.6953125
00000000000001,*,UNKNOWN,unknown,
00000000000001,0.32,UNKNOWN,unknown,2.555555555555556
00000000002023,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000000202019,,UNKNOWN,unknown,
00000020102023,,UNKNOWN,unknown,
20100101000000,0.75,UNKNOWN,unknown,1.3355
20100201000000,0.78,UNKNOWN,unknown,0.7414
20100301000000,0.52,UNKNOWN,unknown,0.3353
20100401000000,0.57,UNKNOWN,unknown,0.3912
